lambda,order,outbound_steps,inbound_steps,total_steps,total_density
0,0,30,30,60,22
0,1,4,46,50,36
0,2,33,1,34,15
0,3,40,2,42,42
0,4,53,53,106,16
0,5,86,7,93,46
0,6,39,1,40,26
0,7,61,5,66,30
0,8,10,4,14,40
0,9,33,11,44,16
0,10,4,90,94,26
0,11,88,5,93,36
0,12,20,30,50,22
0,13,22,43,65,26
0,14,102,5,107,23
0,15,17,92,109,20
0,16,59,12,71,31
0,17,87,2,89,35
0,18,1,64,65,13
0,19,65,40,105,49
0,20,4,64,68,35
0,21,80,10,90,32
0,22,65,15,80,31
0,23,33,40,73,23
0,24,103,4,107,24
0,25,10,10,20,30
0,26,18,52,70,33
0,27,40,30,70,16
0,28,98,5,103,39
0,29,6,6,12,26
0,30,20,20,40,22
0,31,26,8,34,33
0,32,10,10,20,18
0,33,60,14,74,14
0,34,20,8,28,45
0,35,41,3,44,36
0,36,94,16,110,17
0,37,18,68,86,42
0,38,16,16,32,14
0,39,26,64,90,26
0,40,94,16,110,36
0,41,73,16,89,29
0,42,81,6,87,37
0,43,43,18,61,41
0,44,26,60,86,43
0,45,38,28,66,12
0,46,2,36,38,10
0,47,47,33,80,48
0,48,69,32,101,70
0,49,108,2,110,37
0,50,48,3,51,20
0,51,76,21,97,46
0,52,36,43,79,17
0,53,31,67,98,53
0,54,67,10,77,31
0,55,12,12,24,20
0,56,28,4,32,36
0,57,71,19,90,46
0,58,65,3,68,29
0,59,87,23,110,21
0,60,33,4,37,40
0,61,24,76,100,32
0,62,37,9,46,46
0,63,15,48,63,32
0,64,44,10,54,53
0,65,17,17,34,14
0,66,7,13,20,52
0,67,79,1,80,23
0,68,38,48,86,27
0,69,82,14,96,26
0,70,84,13,97,23
0,71,75,2,77,26
0,72,96,7,103,39
0,73,55,23,78,36
0,74,28,28,56,10
0,75,109,1,110,23
0,76,25,30,55,39
0,77,100,8,108,41
0,78,44,44,88,20
0,79,94,16,110,49
0,80,50,57,107,28
0,81,27,27,54,12
0,82,17,45,62,26
0,83,81,8,89,26
0,84,8,5,13,47
0,85,47,4,51,44
0,86,7,7,14,4
0,87,36,28,64,25
0,88,64,5,69,18
0,89,104,3,107,33
0,90,57,11,68,12
0,91,106,4,110,33
0,92,107,3,110,41
0,93,108,2,110,33
0,94,63,17,80,21
0,95,44,62,106,26
0,96,55,55,110,22
0,97,104,2,106,46
0,98,7,7,14,30
0,99,6,6,12,30
0,0,38,10,48,49
0,1,54,1,55,20
0,2,103,7,110,36
0,3,17,75,92,20
0,4,61,39,100,48
0,5,22,8,30,41
0,6,50,5,55,24
0,7,45,7,52,32
0,8,37,47,84,19
0,9,18,10,28,30
0,10,75,5,80,26
0,11,11,3,14,43
0,12,61,15,76,48
0,13,10,8,18,42
0,14,102,8,110,42
0,15,22,60,82,16
0,16,50,12,62,18
0,17,2,2,4,12
0,18,66,12,78,28
0,19,63,3,66,46
0,20,30,30,60,24
0,21,6,6,12,30
0,22,62,3,65,15
0,23,99,10,109,20
0,24,40,20,60,49
0,25,72,16,88,55
0,26,77,4,81,13
0,27,35,35,70,22
0,28,55,55,110,18
0,29,31,9,40,16
0,30,24,62,86,32
0,31,49,49,98,14
0,32,66,41,107,45
0,33,63,23,86,50
0,34,76,15,91,58
0,35,44,22,66,12
0,36,38,38,76,30
0,37,46,2,48,16
0,38,104,2,106,18
0,39,14,63,77,35
0,40,12,52,64,26
0,41,83,13,96,48
0,42,98,7,105,22
0,43,9,9,18,38
0,44,89,19,108,46
0,45,23,33,56,54
0,46,51,9,60,28
0,47,49,43,92,46
0,48,38,9,47,48
0,49,48,26,74,20
0,50,37,51,88,29
0,51,27,9,36,45
0,52,63,3,66,46
0,53,23,35,58,50
0,54,19,13,32,14
0,55,62,24,86,14
0,56,78,20,98,48
0,57,16,74,90,16
0,58,30,30,60,24
0,59,105,5,110,45
0,60,51,7,58,30
0,61,7,7,14,38
0,62,87,22,109,41
0,63,75,9,84,33
0,64,77,32,109,44
0,65,75,16,91,22
0,66,4,4,8,44
0,67,18,25,43,19
0,68,8,3,11,10
0,69,68,5,73,40
0,70,55,12,67,50
0,71,11,11,22,4
0,72,40,2,42,32
0,73,79,14,93,11
0,74,41,41,82,30
0,75,104,6,110,39
0,76,98,12,110,24
0,77,48,55,103,25
0,78,35,6,41,26
0,79,75,17,92,44
0,80,95,9,104,58
0,81,77,10,87,32
0,82,104,6,110,41
0,83,4,4,8,8
0,84,45,9,54,50
0,85,66,14,80,27
0,86,15,62,77,34
0,87,94,16,110,47
0,88,8,8,16,28
0,89,13,61,74,18
0,90,93,4,97,29
0,91,86,8,94,66
0,92,26,64,90,20
0,93,29,4,33,23
0,94,25,7,32,29
0,95,9,19,28,23
0,96,71,10,81,13
0,97,61,23,84,12
0,98,42,32,74,10
0,99,8,8,16,34
